????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　interaction,/ int?’r?k??n/                                             ,n.相互作用；干扰
　　interest,/ ‘intrist/                                             ,n.兴趣；利益；利息
　　interesting,/ ‘intristi?/                                             ,a.有趣的，引人入胜的
　　interfere,/ int?’fi?/                                             ,vi.干涉，干预；妨碍
　　interference,/ int?’fi?r?ns/                                             ,n.干涉，干预；阻碍
　　interior,/ in’ti?ri?/                                             ,a.内的；内地的n.内部
　　intermediate,/ int?’mi:dj?t/                                             ,a.中间的；中级的
　　internal,/ in’t?:nl/                                             ,a.内的；国内的
　　international,/ int?(:)’n???nl/                                             ,a.国际的，世界(性)的
　　interpret,/ in’t?:prit/                                             ,vt.解释，说明；口译
　　interpretatio,n/                                             ,int?:pri’tei??n/                                                                                               n.解释；口译
　　interrupt,/ int?’rΛpt/                                             ,vt.打断，打扰；中止
　　interval,/ ‘int?v?l/                                             ,n.间隔；休息；间距
　　interview,/ ‘int?vju:/                                             ,n.接见；会见；面谈
　　intimate,/ ‘intimit/                                             ,a.亲密的；个人的
　　into,"/ ‘intu, ‘int?/                                             ",prep.进，入；进入到
　　introduce,/ ‘intr?’dju:s/                                             ,vt.介绍；引进，传入
　　introduction,/ intr?’dΛk??n/                                             ,n.介绍；引进；引言
　　invade,/ in’veid/                                             ,vt.入侵，侵略；侵袭
　　invasion,/ in’vei??n/                                             ,n.入侵，侵略；侵犯
　　invent,/ in’vent/                                             ,vt.发明，创造；捏造
　　invention,/ in’ven??n/                                             ,n.发明，创造；捏造
　　inventor,/ in’vent?/                                             ,n.发明者；发明家
　　invest,/ in’vest/                                             ,vt.投资；投入
　　investigate,/ in’vestigeit/                                             ,vt.&vi.调查
　　investment,/ in’vestm?nt/                                             ,n.投资，投资额，投入
　　invisible,/ in’viz?bl/                                             ,a.看不见的，无形的
　　invitation,/ invi’tei??n/                                             ,n.邀请，招待；请柬
　　invite,/ in’vait/                                             ,vt.邀请，聘请；招待
　　involve,/ in’v?lv/                                             ,vt.使卷入；牵涉
　　inward,/ ‘inw?d/                                             ,a.里面的 ad.向内
　　iron,/ ‘ai?n/                                             ,n.铁；烙铁 vt.烫(衣)
　　island,/ ‘ail?nd/                                             ,n.岛，岛屿
　　isolate,/ ‘ais?leit/                                             ,vt.使隔离，使孤立
　　issue,/ ‘i?u:/                                             ,n.问题；发行 vt.发行
　　it,/ it/                                             ,pron.这，那，它
　　Italian,/ i’t?lj?n/                                             ,a. 意大利的n.意大利人
　　item,/ ‘ait?m/                                             ,n.条，条款；一条
　　its,/ its/                                             ,pron.它的
　　itself,/ it’self/                                             ,pron.它自己；自身
J,,
,,
jacket,/ ‘d??kit/                                             ,n.短上衣，茄克衫
　　jam,/ d??m/                                             ,n.果酱
,,
,,
　　jam,/ d??m/                                             ,vt.使塞满；使堵塞
　　January,/ ‘d??nju?ri/                                             ,n.一月
　　Japanese,/ d??p?’ni:z/                                             ,a.日本的 n.日本人
　　jar,/ d?a:/                                             ,n.罐子，坛子，广口瓶
　　jaw,/ d??:/                                             ,n.颌，颚
　　jazz,/ d??z/                                             ,n.爵士音乐，爵士舞曲
　　jealous,/ ‘d?el?s/                                             ,a.妒忌的；猜疑的
　　jet,/ d?et/                                             ,n.喷气式飞机；喷嘴
　　jewel,/ ‘d?u:?l/                                             ,n.宝石；宝石饰物
　　job,/ d?ob/                                             ,n.职业；工作；零活
　　j?in,/ d??in/                                             ,vt.参加；连接
　　j?int,/ d??int/                                             ,n.接头，接缝；关节
　　joke,/ d??uk/                                             ,n.笑话 vi.说笑话
　　journal,/ ‘d??:nl/                                             ,n.日报，杂志；日志
　　journey,/ ‘d??:ni/                                             ,n.旅行，旅程 n.旅行
　　joy,/ d??i/                                             ,n.欢乐，喜悦；乐事
　　judge,/ d?Λd?/                                             ,n.法官；裁判员
　　judgement,/ ‘d?Λd?m?nt/                                             ,n.意见；审判；判断
　　juice,/ d?u:s/                                             ,n.(水果等)汁，液
　　July,/ d?u:’lai/                                             ,n.七月
　　jump,/ d?Λmp/                                             ,vi.跳；暴涨 vt.跳过
　　June,/ d?u:n/                                             ,n.六月
　　jungle,/ ‘d?Λ?gl/                                             ,n.丛林，密林，莽丛
　　junior,/ ‘d?u:nj?/                                             ,a.年少的 n.晚辈
　　jury,/ ‘d?u?ri/                                             ,n.陪审团；评奖团
　　just,/ d?Λst/                                             ,ad.刚才；只是；正好
　　justice,/ ‘d?Λstis/                                             ,n.正义，公正；司法
justify,/ ‘d?Λstifai/                                             ,vt.证明…是正当的
K,,
,,
　　keen,/ ki:n/                                             ,a.热心的；激烈的
　　keep,/ ki:p/                                             ,vi.保持；坚持
　　kettle,/ ‘ketl/                                             ,n.水壶，水锅
　　key,/ ki:/                                             ,n.钥匙；键；答案
　　keyboard,/ ‘kib?:d/                                             ,n.键盘
　　kick,/ kik/                                             ,vi.&vt.&n.踢
　　kid,/ kid/                                             ,n.小孩，儿童，少年
　　kill,/ kil/                                             ,vi.杀死；扼杀；消磨
　　kilogram,/ ‘kil?gr?m/                                             ,n.千克，公斤
　　kilometer,/ ‘kil?mi:t?/                                             ,n.千米，公里
　　kind,/ kaind/                                             ,n.种类
　　kind,/ kaind/                                             ,a.友好的；和蔼的
　　kindness,/ ‘kaindnis/                                             ,n.仁慈，好意
　　king,/ ki?/                                             ,n.国王，君主
　　kingdom,/ ‘ki?d?m/                                             ,n.王国；领域，界
　　kiss,/ kis/                                             ,vt.吻 vi.接吻 n.吻
　　kitchen,/ ‘kit?in/                                             ,n.厨房，灶间
　　knee,/ ni:/                                             ,n.膝，膝盖，膝关节
　　kneel,/ ni:l/                                             ,vi.跪，跪下，跪着
　　knife,/ naif/                                             ,n.小刀，刀，餐刀
　　knock,/ n?k/                                             ,vi.&vt.&n.敲，击，打
　　knot,/ n?t/                                             ,n.(绳的)结，(树的)节
　　know,/ n?u/                                             ,vt.知道；认识；通晓
　　knowledge,/ ‘n?lid?/                                             ,n.知识，学识；知道
L,,
,,
lab/                                                                                              ,l?b/                                             ,n.实验室，研究室
　　label,/ ‘leibl/                                             ,n.标签；标记，符号
　　laboratory,/ l?’b?r?tri/                                             ,n.实验室，研究室
　　labour,/ ‘leib?/                                             ,n.劳动；工作；劳工
　　lack,/ l?k/                                             ,vi.&vi.&n.缺乏，不足
　　ladder,/ ‘l?d?/                                             ,n.梯子，梯状物
　　lady,/ ‘leidi/                                             ,n.女士，夫人；贵妇人
　　lag,/ l?g/                                             ,vi.走得慢 n.落后
　　lake,/ leik/                                             ,n.湖
　　lamp,/ l?mp/                                             ,n.灯
　　land,/ l?nd/                                             ,n.陆地；土地 vi.上岸
　　landlord,/ ‘l?ndl?:d/                                             ,n.地主；房东，店主
　　lane,/ lein/                                             ,n.(乡间)小路；跑道
　　language,/ ‘l??gwid?/                                             ,n.语言，语言课程
　　lap,/ l?p/                                             ,n.膝部；一圈
　　large,/ la:d?/                                             ,a.大的；巨大的
　　largely,/ ‘la:d?li/                                             ,ad.大部分；大量地
　　laser,/ ‘leiz?/                                             ,n.激光
　　last,/ la:st/                                             ,a.最后的 ad.最后
　　last,/ la:st/                                             ,vi.持续，持久；耐久
　　late,/ leit/                                             ,a.迟的 ad.迟，晚
　　lately,/ ‘leitli/                                             ,ad.最近，不久前
　　later,/ ‘leit?/                                             ,ad.后来；过一会儿
　　Latin,/ ‘l?tin/                                             ,a.拉丁的 n.拉丁语
　　latter,/ ‘l?t?/                                             ,a.(两者中)后者的
　　laugh,/ la:f/                                             ,vi.笑，发笑 n.笑
　　laughter,/ la:ft?/                                             ,n.笑，笑声
　　launch,/ l?:nt?/                                             ,vt.发射，投射；发动
　　laundry,/ ‘l?:ndri/                                             ,n.洗衣房，洗衣店
　　lavatory,/ ‘l?v?t?ri/                                             ,n.盥洗室，厕所
　　law,/ l?:/                                             ,n.法律，法令；法则
　　lawn,/ l?:n/                                             ,n.草地，草坪，草场
　　lawyer,/ ‘l?:j?/                                             ,n.律师；法学家
　　lay,/ lei/                                             ,vt.置放；铺设；设置
　　layer,/ ‘lei?/                                             ,n.层，层次；铺设者
　　layout,/ ‘leiaut/                                             ,n.布局，安排，设计
　　lazy,/ ‘leizi/                                             ,a.懒惰的，懒散的
　　lead,/ li:d/                                             ,vt.为…带路；领导
　　lead,/ li:d/                                             ,n.铅，铅制品
　　leader,/ ‘li:d?/                                             ,n.领袖，领导人；首领
　　leadership,/ ‘li:d??ip/                                             ,n.领导
　　leading,/ ‘li:di?/                                             ,a.指导的；最主要的
　　leaf,/ li:f/                                             ,n.叶，叶子
　　league,/ li:g/                                             ,n.同盟，联盟；联合会
　　leak,/ li:k/                                             ,vi.漏；泄露 n.漏洞
　　lean,/ li:n/                                             ,vi.倾斜，屈身；靠
　　leap,/ li:p/                                             ,vi.跳，跃 n.跳跃
　　learn,/ l?:n/                                             ,vi.&vt.学，学习
　　learned,/ ‘l?:nid/                                             ,a.有学问的；学术上的
　　learning,/ ‘l?:ni?/                                             ,n.学习；学问，知识
　　least,/ li:st/                                             ,a.最少的 ad.最少
　　leather,/ ‘lee?/                                             ,n.皮革；皮革制品
　　leave,/ li:v/                                             ,vi.离去 vt.离开
　　lecture,/ ‘lekt??/                                             ,n.&vi.演讲，讲课
　　left,/ left/                                             ,a.左边的 ad.在左边
　　leg,/ leg/                                             ,n.腿，腿部
　　legal,/ ‘li:gl/                                             ,a.法律的；合法的
　　leisure,/ ‘le??/                                             ,n.空闲时间；悠闲
　　lend,/ lend/                                             ,vt.把…借给，贷(款)
　　length,/ le?θ/                                             ,n.长，长度；一段
　　lens,/ lenz/                                             ,n.透镜，镜片；镜头
　　less,/ les/                                             ,a.更少的 ad.更少地
　　lessen,/ ‘lesn/                                             ,vt.减少，减轻；缩小
　　lesson,/ ‘lesn/                                             ,n.功课，课；课程
　　lest,/ lest/                                             ,conj.惟恐，以免
　　let,/ let/                                             ,vt.允许，让；使
　　letter,/ ‘let?/                                             ,n.信；证书；字母
　　level,/ ‘levl/                                             ,n.水平面 a.水平的
　　lever,/ ‘li:v?/                                             ,n.杆，杠杆；控制杆
　　liable,/ ‘lai?bl/                                             ,a.易于…的；可能的
　　liberal,/ ‘lib?r?l/                                             ,a.心胸宽大的；慷慨的
　　liberate,/ ‘lib?reit/                                             ,vt.解放；释放
　　liberty,/ ‘lib?ti/                                             ,n.自由；释放；许可
　　librarian,/ lai’bre?ri?n/                                             ,n. 图书馆馆长
　　library,/ ‘laibr?ri/                                             ,n.图书馆；藏书
　　license,/ ‘lais?ns/                                             ,n.许可；执照 vt.准许
　　lid,/ lid/                                             ,n.盖子，盖，囊盖
　　lie,/ lai/                                             ,vi.躺，平放；位于
　　lie,/ lai/                                             ,vi.说谎，欺骗 n.谎话
　　life,/ laif/                                             ,n.生命；一生；寿命
　　lifetime,/ ‘laiftaim/                                             ,n.一生，终身
　　lift,/ lift/                                             ,vt.提起，提高 n.电梯
　　light,/ lait/                                             ,n.光，光线；灯，光源
　　light,/ lait/                                             ,a.轻的，少量的
　　lightning,/ ‘laitni?/                                             ,n.闪电，闪电放电
　　like,/ laik/                                             ,vt.喜欢；喜爱；希望
　　like,/ laik/                                             ,prep.像，如；像要
　　likely,/ ‘laikli/                                             ,a.可能的 ad.很可能
　　likewise,/ ‘laikwaiz/                                             ,ad.同样地；也，又
　　limb,/ lim/                                             ,n.肢，臂，翼；树枝
　　lime,/ laim/                                             ,n.石灰
　　limit,/ ‘limit/                                             ,n.限度；限制；范围
　　limitation,/ limi’tei??n/                                             ,n.限制；限度，局限
　　limited,/ ‘limitid/                                             ,a.有限的
　　line,/ lain/                                             ,n.线；排；路线；线条
　　link,/ li?k/                                             ,vt.有环连接 n.环
　　lion,/ ‘lai?n/                                             ,n.狮子；勇猛的人
　　lip,/ lip/                                             ,n.嘴唇
　　liquid,/ ‘likwid/                                             ,n.液体 a.液体的
　　liquor,/ ‘lik?/                                             ,n.酒；溶液，液剂
　　list,/ list/                                             ,n.表，目录 n.列举
　　listen,/ ‘lisn/                                             ,vi.听，留神听；听从
　　liter,/ ‘li:t?/                                             ,n. 公升
　　litre,/ ‘li:t?/                                             ,n. 公升
　　literary,/ ‘lit?r?ri/                                             ,a.文学(上)的
　　literature,/ ‘lit?rit??/                                             ,n.文学；文献
　　little,/ ‘litl/                                             ,a.小的；少；幼小的
　　live,/ liv laiv/                                             ,vi.居住；活 a.活的
　　lively,/ ‘laivli/                                             ,a.活泼的；逼真的
　　liver,/ ‘liv?/                                             ,n.肝；肝脏
　　living,/ ‘livi?/                                             ,a.活的 n.生活，生计
　　living-room,/ ‘livi?’ru:m/                                             ,n.起居室
　　load,/ l?ud/                                             ,vt.装；装满 n.负载
　　loaf,/ l?uf/                                             ,n.一条面包，一个面包
　　loan,/ l?un/                                             ,n.贷款；暂借 vt.借出
　　local,/ ‘l?uk?l/                                             ,a.地方的；局部的
　　locate,/ l?u’keit/                                             ,vt.探明，找出，查出
　　location,/ l?u’kei??n/                                             ,n.位置，场所
　　lock,/ l?k/                                             ,n.锁 vt.锁上，锁住
　　lodge,/ l?d?/                                             ,vi.暂住，借宿，投宿
　　log,/ l?g/                                             ,n.原木，木料
　　logic,/ ‘l?d?ik/                                             ,n.逻辑，推理；逻辑性
　　logical,/ ‘l?d?ik?l/                                             ,a.逻辑的；符合逻辑的
　　lonely,/ ‘l?unli/                                             ,a.孤独的；荒凉的
　　long,/ l??/                                             ,a.长的；远的 ad.长久
　　long,/ l??/                                             ,vi.渴望，极想念
　　look,/ luk/                                             ,vi.看，显得 n.看
　　loop,/ lu:p/                                             ,n.圈，环，环孔
　　loose,/ lu:s/                                             ,a.松的；宽松的
　　loosen,/ ‘lu:sn/                                             ,vt.解开；使松驰
　　lord,/ l?:d/                                             ,n.贵族；上帝，基督
　　lorry,/ ‘l?ri/                                             ,n.运货汽车，卡车
　　lose,/ lu:z/                                             ,vt.失去；迷失；输掉
　　loss,/ l?s/                                             ,n.遗失；损失；失败
　　lot,/ l?t/                                             ,n.许多，大量；签，阄
　　loud,/ laud/                                             ,a.响亮的；吵闹的
　　love,/ lΛv/                                             ,vt.爱，喜欢 n.爱
　　lovely,/ ‘lΛvli/                                             ,a.可爱的；令人愉快的
　　lover,/ lΛv?/                                             ,n.爱好者；情人；情侣
　　low,/ l?u/                                             ,a.低的，矮的；低下的
　　lower,/ ‘l?u?/                                             ,a.较低的 vt.放下
　　loyal,/ ‘l?i?l/                                             ,a.忠诚的，忠心的
　　loyalty,/ ‘l?i?lti/                                             ,n.忠诚，忠心
　　luck,/ lΛk/                                             ,n.运气；好运，幸运
　　lucky,/ ‘lΛki/                                             ,a.幸运的；吉祥的
　　luggage,/ ‘lΛgid?/                                             ,n.行李；皮箱，皮包
　　lump,/ lΛmp/                                             ,n.团，块；肿块
　　lunch,/ lΛnt?/                                             ,n.午餐，(美)便餐
　　lung,/ lΛ?/                                             ,n.肺脏，肺
　　luxury,/ ‘lΛk??ri/                                             ,n.奢侈，奢华； 奢侈品
M,,
,,
machine,/ m?’?i:n/                                             ,n.机器；机械
　　machinery,/ m?’?i:n?ri/                                             ,"n. 机器,机关,结构"
　　mad,/ m?d/                                             ,a.发疯的；恼火的
　　magazine,/ m?g?’zi:n/                                             ,n.杂志，期刊
　　magic,/ ‘m?d?ik/                                             ,n.魔法，巫术；戏法
　　magnet,/ ‘m?gnit/                                             ,n.磁铁，磁石，磁体
　　magnetic,/ m?g’netik/                                             ,a.磁的，有吸引力的
　　magnificent,/ m?g’nifisnt/                                             ,n.壮丽的；华丽的
　　maid,/ meid/                                             ,n.女佣，女仆；少女
　　mail,/ meil/                                             ,n.邮件 vt.邮寄
　　main,/ mein/                                             ,a.主要的，最重要的
　　mainland,/ ‘meinl?nd/                                             ,n.大陆
　　maintain,/ mein’tein/                                             ,vt.维持；赡养；维修
　　maintenance,/ ‘meintin?ns/                                             ,n.维持，保持；维修
　　major,/ ‘meid??/                                             ,a.较大的 n.专业
　　majority,/ m?’d?oriti/                                             ,n.多数，大多数
　　make,/ meik/                                             ,vt.使；做，制造
　　male,/ meil/                                             ,a.男的，雄的 n.男子
　　man,/ m?n/                                             ,n.男人；人；人类
　　manage,/ ‘m?nid?/                                             ,vt.管理；设法；对付
　　management,/ ‘m?nid?m?nt/                                             ,n.管理；经营，处理
　　manager,/ ‘m?nid??/                                             ,n.经理，管理人
　　mankind,/ m?n’kaind/                                             ,n.人类
　　manner,/ ‘m?n?/                                             ,n.方式；态度；礼貌
　　manual,/ ‘m?nju?l/                                             ,a.体力的 n.手册
　　manufacture,/ m?nju’f?kt??/                                             ,vt.制造 n.制造；产品
　　manufacturer,/ m?nju’f?kt??r?/                                             ,n.制造商；制造厂
　　many,/ ‘meni/                                             ,a.许多的 pron.许多人
　　map,/ m?p/                                             ,n.地图；图；天体图
　　March,/ ma:t?/                                             ,n.三月
　　march,/ ma:t?/                                             ,vi.行军；游行示威
　　margin,/ ‘ma:d?in/                                             ,n.页边的空白；边缘
　　marine,/ m?’ri:n/                                             ,a.海的；海上的
　　mark,/ ma:k/                                             ,n.斑点；记号 vt.标明
　　market,/ ‘ma:kit/                                             ,n.市场；集市；销路
　　marriage,/ ‘m?rid?/                                             ,n.结婚，婚姻；婚礼
　　married,/ ‘m?rid/                                             ,a.已婚的；婚姻的
　　marry,/ ‘m?ri/                                             ,vt.娶，嫁 vi.结婚
　　marvelous,/ ‘ma:vil?s/                                             ,a.奇迹般的；了不起的
　　Marxist,/ ‘ma:ksist/                                             ,a.马克思主义的
　　mask,/ ma:sk/                                             ,n.面具；伪装 vt.掩饰
　　mass,/ m?s/                                             ,n.众多；团；群众
　　master,/ ‘ma:st?/                                             ,n.主人；能手；硕士
　　mat,/ m?t/                                             ,n.席子；草席；垫子
　　match,/ m?t?/                                             ,n.比赛，竞赛；对手
　　match,/ m?t?/                                             ,n.(一根)火柴
　　mate,/ meit/                                             ,n.伙伴，同事；配偶
　　material,/ m?’ti?ri?l/                                             ,n.材料；素材a.物质的
　　mathematical,/ m?θi’m?tik?l/                                             ,a.数学的，数学上的
　　mathematics,/ m?θi’m?tiks/                                             ,n.数学
　　maths,/ m?θs/                                             ,n.(英)数学
　　matter,/ ‘m?t?/                                             ,n.事情；物质 vi.要紧
　　mature,/ m?’tju?/                                             ,a.成熟的 vt.使成熟
　　maximum,/ ‘m?ksim?m/                                             ,n.最大量 a.最大的
　　May,/ mei/                                             ,n.五月
　　may,/ mei/                                             ,v.aux.可能；可以，祝
　　maybe,/ ‘meibi:/                                             ,ad.大概，或许；也许
　　mayor,/ ‘me?/                                             ,n.市长
　　me,"/ mi:, mi/                                             ",pron.(宾格)我
　　meal,/ mi:l/                                             ,n.膳食，一餐
　　mean,/ mi:n/                                             ,vt.作…解释；意指
　　mean,/ mi:n/                                             ,a.自私的；吝啬的
　　mean,/ mi:n/                                             ,a.平均的 n.平均值
　　meaning,/ ‘mi:ni?/                                             ,n.意义，意思；意图
　　means,/ mi:nz/                                             ,n.方法，手段，工具
　　meantime,/ ‘mi:n’taim/                                             ,n.其时，其间 ad.当时
　　meanwhile,/ ‘mi:n’wail/                                             ,ad.同时，当时
　　measure,/ ‘me??/                                             ,vt.量，测量 n.分量
　　measurement,/ ‘me??m?nt/                                             ,n.衡量，测量；尺寸
　　meat,/ mi:t/                                             ,n.肉
　　mechanic,/ mi’k?nik/                                             ,n.技工，机械，机修工
　　mechanical,/ mi’k?nik?l/                                             ,a.机械的；力学的
　　mechanics,/ mi’k?niks/                                             ,n.力学；技术性细节
　　medical,/ ‘medik?l/                                             ,a.医学的；内科的
　　medicine,/ ‘medisin/                                             ,n.内服药；医学
　　medium,/ ‘mi:dj?m/                                             ,n.媒质；中间a.中等的
　　meet,/ mi:t/                                             ,vt.遇见 vi.相遇
　　meeting,/ mi:ti?/                                             ,n.聚集，会合，会见
　　melt,/ melt/                                             ,vi.融化 vt.使融化
　　member,/ ‘memb?/                                             ,n.成员，会员
　　memorial,/ mi’m?:ri?l/                                             ,a.纪念的；记忆的
　　memory,/ ‘mem?ri/                                             ,n.记忆；回忆；存储
　　mend,/ mend/                                             ,vt.修理，修补，缝补
　　mental,/ ‘mentl/                                             ,a.智力的；精神的
　　mention,/ ‘men??n/                                             ,vt.&n.提及，说起
　　menu,/ ‘menju:/                                             ,n.菜单；饭菜，菜肴
　　merchant,/ ‘m?:t??nt/                                             ,n.商人；零售商
　　mercury,/ ‘m?:kjuri/                                             ,n.水银，汞
　　Mercury,/ ‘m?:kjuri/                                             ,n.水星
　　mercy,/ ‘m?:si/                                             ,n.仁慈，慈悲，恩惠
　　mere,/ mi?/                                             ,a.仅仅的；纯粹的
　　merely,/ ‘mi?li/                                             ,ad.仅仅，只不过
　　merit,/ ‘merit/                                             ,n.长处，优点；功过
　　merry,/ ‘meri/                                             ,a.欢乐的，愉快的
　　message,/ ‘mesid?/                                             ,n.信息，消息；启示
　　metal,/ ‘metl/                                             ,n.金属，金属制品
　　meter,/ ‘mi:t?/                                             ,n.计量器，计，表
　　method,/ ‘meθ?d/                                             ,n.方法，办法；教学法
　　metre,/ ‘mi:t?/                                             ,n.米，公尺
　　metric,/ ‘metrik/                                             ,a.公制的，米制的
　　microphone,/ ‘maikr?f?un/                                             ,n.话筒，麦克风
　　microscope,/ ‘maikr?sk?up/                                             ,n.显微镜
　　middle,/ ‘midl/                                             ,n.中部 a.中部的
　　midnight,/ ‘midnait/                                             ,n.午夜，子夜，夜半
　　might,/ mait/                                             ,v.aux.可能，会，也许
　　might,/ mait/                                             ,n.力量，威力，能力
　　mild,/ maild/                                             ,a.和缓的；温柔的
　　mile,/ mail/                                             ,n.英里
　　military,/ ‘milit?ri/                                             ,a.军事的；军人的
　　milk,/ milk/                                             ,n.乳，牛奶 vt.挤(奶)
　　mill,/ mil/                                             ,n.磨坊；制造厂
　　millimetre,/ ‘milimi:t?/                                             ,n.毫米
　　million,/ ‘milj?n/                                             ,num.百万 n.许多
　　mind,/ maind/                                             ,n.头脑；理智；记忆
　　mine,/ main/                                             ,pron.我的
　　mine,/ main/                                             ,n.矿，矿山；地雷
　　mineral,/ ‘min?r?l/                                             ,n.矿物 a.矿物的
　　minimum,/ ‘minim?m/                                             ,n.最小量 a.最小的
　　minister,/ ‘minist?/                                             ,n.部长，大臣；公使
　　ministry,/ ‘ministri/                                             ,n.(政府的)部
　　minor,/ ‘main?/                                             ,a.较小的；较次要的
　　minority,/ mai’n?riti/                                             ,n.少数；少数民族
　　minus,/ ‘main?s/                                             ,a.负的 prep.减(去)
　　minute,"/ ‘minit, mai’nju:t/                                             ",n.分，分钟；一会儿
　　minute,"/ ‘minit, mai’nju:t/                                             ",a.微细的；详细的
　　miracle,/ ‘mir?kl/                                             ,n.奇迹，令人惊奇的人
　　mirror,/ ‘mir?/                                             ,n.镜子 vt.反映，反射
　　miserable,/ ‘miz?r?bl/                                             ,a.痛苦的，悲惨的
　　mislead,/ mis’li:d/                                             ,vt.使误入岐途
　　miss,/ mis/                                             ,n.小姐
　　miss,/ mis/                                             ,vt.未看到；惦念
　　missile,/ ‘misail/                                             ,n.发射物；导弹
　　missing,/ ‘misi?/                                             ,a.缺掉的，失去的
　　mission,/ ‘mi??n/                                             ,n.使命，任务；使团
　　mist,/ mist/                                             ,n.薄雾
　　mistake,/ mis’teik/                                             ,n.错误 vi.误解，弄错
　　misunderstand,/ misΛnd?’st?nd/                                             ,vt.误解，误会，曲解
　　mix,/ miks/                                             ,vt.使混合，混淆
　　mixture,/ ‘mikst??/                                             ,n.混合；混合物
　　mobile,/ ‘m?ubail/                                             ,a.运动的；流动的
　　mode,/ m?ud/                                             ,n.方式，样式
　　model,/ ‘m?dl/                                             ,n.模型；模式；模特儿
　　moderate,/ ‘m?d?rit/                                             ,a.温和的；有节制的
　　modern,/ ‘m?d?n/                                             ,a.现代的，近代的
　　modest,/ ‘m?dist/                                             ,a.有节制的；谦虚的
　　modify,/ ‘m?difai/                                             ,vt.更改，修改；修饰
　　m?ist,/ m?ist/                                             ,a.湿润的；多雨的
　　m?isture,/ ‘m?ist??/                                             ,n.潮湿，湿气；温度
　　molecule,/ ‘m?likju:l/                                             ,n.分子，克分子
　　moment,/ ‘m?um?nt/                                             ,n.片刻，瞬间，时刻
　　Monday,/ ‘mΛndi/                                             ,n.星期一
　　money,/ ‘mΛni/                                             ,n.货币；金钱，财富
　　monitor,/ ‘m?nit?/                                             ,n.班长；监视器
　　monkey,/ ‘mΛ?ki/                                             ,n.猴子，猿
　　month,/ mΛnθ/                                             ,n.月，月份
　　monthly,/ ‘mΛnθli/                                             ,a.每月的 ad.每月
　　monument,/ ‘m?njum?nt/                                             ,n.纪念碑；纪念馆
　　mood,/ mu:d/                                             ,n.心情，情绪；语气
　　moon,/ mu:n/                                             ,n.月球，月亮；卫星
　　moral,/ ‘m?r?l/                                             ,a.道德的；合乎道德的
　　more,/ m?:/                                             ,a.更多的 ad.更
　　moreover,/ m?:’r?uv?/                                             ,ad.再者，加之，此外
　　morning,/ ‘m?:ni?/                                             ,n.早晨，上午
　　mosquito,/ m?s’ki:t?u/                                             ,n.蚊子
　　most,/ m?ust/                                             ,a.最多的 ad.最，很
　　mostly,/ ‘m?ustli/                                             ,ad.主要的，大部分
　　mother,/ ‘mΛe?/                                             ,n.母亲，妈妈
　　motion,/ ‘m?u??n/                                             ,n.运动；手势；提议
　　motivate,/ ‘m?utiveit/                                             ,vt.促动；激励，激发
　　motive,/ ‘m?utiv/                                             ,n.动机，目的
　　motor,/ ‘m?ut?/                                             ,n. 发动机；机动车
　　mould,/ m?uld/                                             ,n.模子，模型 vt.浇铸
　　mount,/ maunt/                                             ,vt.登上，爬上 n.…山
　　mountain,/ ‘mauntin/                                             ,n.山，山岳；山脉
　　mouse,/ maus/                                             ,n.鼠，耗子
　　mouth,/ mauθ/                                             ,n.嘴，口，口腔
　　move,/ mu:v/                                             ,vt.移动；感动 n.动
　　movement,/ ‘mu:vm?nt/                                             ,n.动作，活动；移动
　　movie,/ ‘mu:vi/                                             ,n.电影；电影院
　　much,/ mΛt?/                                             ,ad.非常，很 a.许多的
　　mud,/ mΛd/                                             ,n.软泥，泥浆
　　multiple,/ ‘mΛltipl/                                             ,a.复合的；并联的
　　multiply,/ ‘mΛltiplai/                                             ,vt.使增加；乘
　　murder,/ ‘m?:d?/                                             ,n.&vi.谋杀，凶杀
　　muscle,/ ‘mΛsl/                                             ,n.肌肉，肌；体力
　　museum,/ mju:’zi?m/                                             ,n.博物馆；展览馆
　　music,/ ‘mju:zik/                                             ,n.音乐，乐曲，乐谱
　　musical,/ ‘mju:zik?l/                                             ,a.音乐的；和谐的
　　musician,/ mju:’zi??n/                                             ,n.音乐家；作曲家
　　must,/ mΛst/                                             ,v.aux.必须；必然要
　　mutual,/ ‘mju:tju?l/                                             ,a.相互的；共同的
　　my,/ mai/                                             ,pron.我的
　　myself,/ mai’self/                                             ,pron.我自己；我亲自
　　mysterious,/ mis’ti?ri?s/                                             ,a.神秘的；难以理解的
　　mystery,/ ‘mist?ri/                                             ,n.神秘；神秘的事物
N,,
,,
nail/                                                                                              ,neil/                                             ,n.钉；指甲 vt.钉
　　naked,/ ‘neikid/                                             ,a.裸体的；无遮敝的
,,
,,
,,
　　name,/ ‘neim/                                             ,n.名字；名誉 vt.说出
　　namely,/ ‘neimli/                                             ,ad.即，也就是
　　narrow,/ ‘n?r?u/                                             ,a.狭的，狭窄的
　　nation,/ ‘nei??n/                                             ,n.民族；国家
　　national,/ ‘n???nl/                                             ,a.民族的；国家的
　　nationality,/ n???’n?liti/                                             ,n.国籍；民族，族
　　native,/ ‘neitiv/                                             ,a.本土的 n.本地人
　　natural,/ ‘n?t??r?l/                                             ,a.自然界的；天然的
