mercy,"n.仁慈,怜悯,宽恕"
satire,"n.讽刺,讽刺文学,讽刺作品"
satisfaction,"n.满足,满意;乐事,愉快"
satisfactory,"a.令人满意的,圆满的,良好的,符合要求的"
satisfy,"v.满意,使满意,使相信,说服"
saturate,vt.使湿透，浸透；使充满，使饱和
Saturday,n.星期六
sauce,"n.酱汁,调味汁"
saucer,"n.茶托,碟子"
sausage,"n.香肠,腊肠"
savage,"a.野蛮的;凶恶的,残暴的 n.野人,未开化的人"
save,"v.救,拯救;储蓄,贮存;节省"
saving,"n.挽救,救助,节约,储蓄;(pl.)储蓄金,存款"
saw,"n.锯子,锯床 v.锯,锯开"
say,vt.说，讲；说明；比如说 vi.说，发表意见
scale,"n.刻度;天平,磅秤;比例尺;规模;音阶;鱼鳞"
scan,"v.细看,审视;浏览;扫描 n.扫描"
scandal,"n.丑闻,诽谤,耻辱,流言蜚语,反感,公愤"
scar,"n.疤,疤痕;创伤 v.使留下伤痕,创伤"
scarce,"a.缺乏的,不足的;稀少的,罕见的"
scarcely,"ad.几乎不,简直没有,勉强"
scare,"n.惊恐,恐慌v.惊吓,受惊"
scarf,"n.围巾,头巾,领巾,领带"
scatter,"v.散开,驱散;散布,散播"
scene,"n.景色,景象,舞台;(戏)一场"
scenery,"n.风景,舞台布景"
scent,"n.气味,香味,香水,线索,嗅觉 v.嗅,发觉"
schedule,"n.时间表,进度表 v.安排,预定"
scheme,"n.计划,方案;阴谋;配置 v.计划,策划;阴谋"
scholar,n.学者
scholarship,"n.奖学金;学问,学识"
school,n.学校，(大学里的)学院；上学，学业；学派
science,n.科学;学科
scientific,a.科学上的
scientist,n.科学家
scissors,n.剪子
scold,"v.责骂,训斥"
scope,"n.(活动)范围;机会,余地"
score,"n.得分,分数;二十 v.得(分),记(…的)分数"
scorn,"v./n.轻蔑,藐视"
scout,"n.侦察员,侦察机(舰) v.搜索,侦察"
scramble,vi.(快速地)爬，攀登；互相争夺，争先
scrap,"n.碎片;废料 v.废弃,报废"
scrape,"v.刮(掉),擦过,勉强通过 n.刮,擦痕,刮擦声"
scratch,"v.抓,搔,扒 n.抓,搔,抓痕;起跑线"
scream,"v./n.尖声叫,喊叫着说出,(风)呼啸"
screen,"n.屏幕,屏风;帘 v.掩蔽,包庇;筛选"
screw,"n.螺旋,螺丝(钉) v.拧,拧紧"
script,n.剧本(原稿)；手稿，原稿；笔迹，手迹
scrutiny,n.周密的调查；仔细看；监视；选票复查
sculpture,n.雕刻(术)，雕塑(术)；雕刻作品
sea,n.海，海洋，大量
seal,"n.封铅,封条;印,图章;海豹 v.封,密封"
seam,"n.缝,接缝"
search,"v./n.(for)搜索,寻找,探查"
seaside,"n.海滨,海边"
season,"n.季,季节,时节"
seat,"n.座位,底座;所在地,场所 v.使坐下"
second,"a.第二;次等的,二等的 n.秒 v.赞成,附和"
secondary,"a.次要的,二级的;中级的,第二的"
secret,"a.秘密的,机密的 n.秘密"
secretary,"n.秘书,书记;部长,大臣"
section,"n.章节,部分;地区,部门,科;截面,剖面"
sector,n.部门，部分；防御地段，防区；扇形
secure,"a.(from,against)安全的,放心的v.得到;防护"
security,"n.安全(感),防御(物),保证(人),(pl.)证券"
see,vt.看见；会面；探望；知道，获悉；送行
seed,"n.种子 v.播种;结实,结籽"
seek,"v.(after,for)寻找,探索;试图,企图"
seem,"v.好像,似乎"
seemingly,ad.外观上，表面上
