单词,释义
existence,n.存在，实在；生存
gas,n.煤气；气体；汽油
challenge,n. 挑战；怀疿 v.挑战
release,v. 释放，解放，发行 n. 解除，免除，发表
corn,n.玉米＿苿小麦
institution,n. 机构；创立；制度；习俿
band,n. 乐队；帮伙；帿 v.用带捆扎；联吿
religious,adj. 宗教的；虔诚皿
extreme,n. 极端；末竿 adj. 极端的；尽头皿
concept,n. 概念，观念，设想
bottom,n.底部；尽头；末端；臀郿 adj.底部皿
argue,v.争论，争辩，辩论
obtain,v.获得
relief,n. 解脱；减轻；安慰；浮雿
proportion,n.比，比率，部刿
aim,v. 瞄准；旨圿 n. 目标；对凿
distribution,n. 分布，配给物，分布区埿
waste,v.浪费；消耿 adj.无用的；废弃的；荒芜皿 n.浪费；废牿
custom,n. 习惯，风俗，海关 adj.（衣服等）定制的
construction,n. 建筑物；建造；造句
rural,adj.乡村的，农村的，田园皿
serve,v.为…服务；招待
search,v./n.搜索；寻找；探查
organize,v.组织，编绿
refuse,v.拒绝；抵刿 n.废料；垃圿
suit,n.套装；诉讼；组；恳求 v.适合
background,n.背景；后台；经历 v. 作…的背景
battle,n.战役；斗亿 v.作战
reasonable,adj.适当的；合理的；通情达理的；公平适度皿
display,n.展现，显礿 v.陈列，显礿
file,n.文件；档案；锉刀 v.抿..归档；锉
freedom,n.自由，自丿
track,n. 跑道，小路；行动路线；足迿 v. 跟踪追赶 ，用纤拉舿
traffic,n.交通，通行；交通量
reform,v.革新，改革，改良 n.革新，改革，改良
remove,v.除去；移动；迁移；搬宿
procedure,n.过程；程序；方法
attitude,n. 态度，看法，意见，姿势
profit,n.利润，益夿 v.得益
arrangement,n. 安排，约定，布置
arrange,v. 安排；排列；协商
opposite,adj.对立的，对面皿 adv.对立地，反面圿 n.对立物，反义诿
replace,v.代替，更换；抿..放回原处
sentence,v. 宣判，判冿 n. 句子，判冿
familiar,adj.熟悉的，亲密皿
pack,n. 包，行李，背匿 v. 捆扎，打包，包装
discipline,n. 纪律；学科；训练 v. 训练
commitment,n.承诺；责任；承担的义势
threat,n.恐吓，威胿
reaction,n.反应，生理反应，反应能力
react,v.起反应，有影响，寿.....做出反应
route,n.路径，轨道，途径
seek,v.寻找，探索，试图
strike,v.使突然想到；打；罢工 n.罢工；袭凿
chin,n.颏，下巴
bear,n. 熊，看跌的人 v. 容忍，带有，生育，产甿
appearance,n.出现，外貌，露面
imagine,v. 想像；设想；料想
goal,n.目标；球门；终点
cast,n. 演员阵容，铸件，投射 v. 投，铸造，抛弃
extend,v. 延伸，延长，扩展
urban,adj.城市皿
colleague,n. 同事，同僿
perfect,adj.完美的，精通的 v.使完羿
exhibition,n.展览，展览会，陈刿
literature,n.文学；文猿
belief,n.相信，信念；信条
attractive,adj. 吸引人的，引起兴趣的
comment,n. 评论；意见；批评 v.注释，评论，提意觿
tiny,adj.很少的，微小皿
document,n. 文件，公斿 v. 记述性地描述，证昿
branch,n.树枝；分政学科)；分秿
reveal,v.揭示，展现，揭露
adult,n.成年亿 adj.成年的；成熟皿
faith,n.信任；信心；信仰
beat,v.敲打；打败；心跳；搅拿 n.敲打；拍孿
identify,v.认出，鉴定，识别
acid,adj.酸的 n.酸，酸性物
advance,v. 提升，提高，提前 n. 前进，增长，接近
definition,n.（轮廓等）清晰，定义，释乿
engine,n.引擎，发动机
stuff,n.材料，物品；本质 v.把…装满，塞进
crown,n.王冠，冕，花冿 v.加冕
lip,n.嘴唇
creation,n.创造，创作，创造物
criticism,n.批评；批判；评论
typical,adj.典型的，代表性的
stress,v.强调；重诿 n.压力；重響
vast,adj. 巨大的；辽阔皿
settle,v.安排；安放；调停
confirm,v. 确认，证实，批准
accuse,v.指责，指掿
decline,v. 衰退，下降；拒绝 n. 衰退，下陿
rap,n.饶舌音乐 v.严厉指责，急拍，用力敲 n.敲击
phase,n. 方面，阶段，(月等皿变相，盈亿
implication,n. 暗示，暗指，含意
severe,adj. 严重的；严厉的；严酷皿
fundamental,adj. 基本的，重要的，基础皿
request,n.要求 v.要求，请汿
combine,v. 使结合，使合并，联合 n. 联合企业，联合收割机
interpret,v.解释，理解为；口诿
inflation,n. 通货膨胀，（充气后）膨胀，自贿
sequence,n.连续，继续，次序
equivalent,adj.相等的，等值的 n. 同等物，同义诿
distinct,adj.不同的，明确的，独特皿
virtual,adj. 虚拟的，十分接近皿
soil,n. 泥土，土圿 v. 弄脏，污捿
massive,adj.巨大的，笨重的，大规模的
location,n. 位置，定位，外景拍摄圿
diet,n. 饮食，病人或减肥者的)特种饮食 v. 节食，规定饮飿
block,n.街区；块状物；阻碿 v.妨碍，阻挿
mix,v. 混合，使结合
maintenance,n.保持，维护，维修
sheet,n.纸张；被单；薄板
crowd,n. 人群，拥挿 v. 塞满，挤滿
identity,n.身份；个性；特怿
enormous,adj.庞大的，巨大皿
convention,n.会议；公约，协定
repeat,v. 重复，重偿 n. 复制，重奿
concentration,n.集中，专注，浓缩
weapon,n. 武器，兵噿
roof,n. 屋顶，顶郿
afford,v. 负担得起，提便
threaten,v./n.恐吓，威胿
reflect,v.反射，映现；仔细思耿
odd,adj.奇数的，奇怪的，古怪的
drama,n. 戏剧性场靿情景)，戏剿
dramatic,adj. 戏剧性的
reject,v. 拒绝，抵刿
emerge,v.出现，浮现，冒出
emergency,n. 紧急情况，突发事件
attach,v.缚，系，贴；附加
resolution,n. 解决，决心，分辨玿
beach,n.海滩，湖滩，河滩
electricity,n. 电学，电浿
sensitive,adj. 敏感的，灵敏的，感官皿
emotion,n. 情绪，感惿
competitive,adj. 竞争的，好胜的，有竞争力皿
currency,n. 货币；流通，流行
resist,v. 抵抗，抵刿
handle,n.柄，把手 v.处理，解冿
mirror,n. 镜子 v. 反映，反尿
global,adj. 全面的，全球皿
instruction,n. 教学；指示；指导
assistant,n.助理，助手，助教 adj.助理的，辅助皿
deliver,v. 发表(演讲），递送，分娩
delivery,n. 投递，分娩
keen,adj.热衷的；强烈的；敏锐皿 v.恸哭
precise,adj. 精确的，恰好皿
comparison,n. 比较，对煿
bath,n. 沐浴，浴缿 v. 绿..洗澡
apart,adj. 分隔的，拆开的，撇开皿 adv. 分隔，分刿
landscape,n. 地貌，风景，风景甿 v. 美化环境
category,n.类别，范畿
stable,adj. 稳定的，安定皿 n. 马厩 v.使稳宿
classic,adj. 古典的；经典的；高雅皿 n.名著
bay,n. 海湾
pale,adj. 暗淡的；苍白皿
gap,n. 缝隙；缺叿
core,n.核心，果心，要点
protest,v.抗议，反寿 n. 声明反对
defeat,v.打败，战胿 n.击败
rent,v. 租用 n.租金
charity,n. 慈善，慈善团使
symptom,n. 征兆，症犿
politician,n.政治家，政客
abuse,v.辱骂，滥用，虐待 n. 冷落，虐待，滥用
component,n. 零件，构成要紿 adj. 组成皿
convince,v. 使信服，使确俿
ignore,v. 忽视，不琿
champion,n. 冠军，胜利耿
presentation,n. 介绍；演讲；报告
ownership,n. 所有权
survival,n. 生存，幸存，残存牿
photograph,n.照片，相牿
pilot,n. 飞行呿 adj. 试验性的 n. 飞行呿
recall,v.使回忆，回想，召囿
restrict,v. 限制，约板
surround,v. 围绕，包囿
coach,v. 训练，指寿 n. 四轮大马车，教练
disappear,v.消失；失踿
smooth,adj. 光滑的；平稳皿 v. 使光滑；使平稿
dispute,n. 争论，争竿 v. 争执，驳斿
statistics,n. 统计，统计资料，统计孿
switch,n. 转换，开兿 v. 转换
tough,adj. 坚韧的；健壮的；强硬皿
storage,n. 储存，仓庿
visible,adj. 看得见的，显然的
host,n.东道主，主持人；（古）军队；大量 v. 主持，主势
architect,n.建筑师，设计帿
architecture,n.建筑学，建筑体系
nervous,adj. 紧张的，神经皿
signal,n. 信号 v. 发信叿
complicated,adj. 复杂的，难解皿
peak,n. 最高点，山峿 v. 达到最高点
steam,n. 蒸气 v. 蒸，蒸发
automatic,adj. 自动的，无意识的 n. 自动换挡，自动手枿
manufacture,v.生产，制逿 n.产品
labor,n. 劳工，劳势 v. 辛苦工作 adj. 劳动皿
suspect,v. 怀疑，猜疑 n. 嫌疑犯，可疑分子 adj. 可疑皿
wing,n.翅膀，机翿 v.飞过，空迿
expose,v.暴露，揭霿
demonstrate,v.(用实例、实骿论证，演示，示威
giant,n. 巨人，巨牿 adj. 巨大皿
leisure,n. 消遣，闲暿
bind,v.捆绑，包扎，装钉
deaf,adj. 聋的；不愿听皿
trend,n.趋势，倾向，潮浿
concrete,adj.具体的，水泥皿 n.水泥，混凝土 v.浇筑混凝圿
complain,v.抱怨，诉苦；控呿
oppose,v. 反对，反抿
replacement,n.代替，替代物
formula,n. 公式，规刿
surgery,n.外科，外科手朿
tail,n. 尾巴，末竿 v. 紧跟，尾隿
evolution,n. 进化，进屿
imagination,n. 想像力，想像
appreciate,v. 赏识，感激，增倿
devote,v. 献身于，致力亿
layer,n. 层，层次，阶屿
penalty,n.刑罚，处罚，惩罚
stretch,v. 延伸，伸长 n. 伸展，张开
curve,v. 使弯替 n. 曲线，弯
creative,adj. 创造性的，创意的
pit,n. 小凹陷，坿 v. 挖坑
rear,n. 后部＿ adj. 背面的； v. 抚养，举赿
leather,n. 皮革 adj. 皮的
schedule,n.时间表；计划衿
composition,n.构成；作文；创作（文章或音乐＿
gather,v.聚集，收集，采集 n.衣服的褶孿
slip,v.滑倒，跌落；溜赿 n. 疏漏，差锿
destruction,n.破坏，毁灭，灭亡
criticize,v.批评；评论；责难
strain,n. 负担，紧弿 v. 拉紧
transition,n.过渡时期，转叿
interact,v. 交流，互相作用，互相影响
interaction,n.相互作用；干扰；互动
desperate,adj. 极其严重的；绝望的；拼死皿
reception,n. 前台；接收；欢迎
innocent,adj. 单纯的；清白无辜皿
acute,adj.急性的；敏锐的，尖锐的
rival,v.丿..竞争，与...同样奿 n.竞争耿
logical,adj. 有逻辑的；合理皿
ethnic,adj. 种族的，少数民族皿
tunnel,v.挖隧避 n.隧道
generous,adj. 慷慨的；丰厚的；多的
frighten,v. 使惊恐，使害怿
remind,v.提醒，使想起
mutual,adj. 相互的；彼此的；共同皿
passion,n. 激惿
bare,adj.赤裸的；极少皿
submit,v.提交，屈服，提出建议
identical,adj. 同一的；完全相同皿
investigate,v. 调查，研穿
chart,n. 图表 v. 制成图表
resort,n.度假胜地，倚靠，凭倿 v.凭藉，采甿某种手段)
fate,n. 命运
fabric,n.布料，织物；质地，结枿
urge,v. 力劝，敦俿 n. 强烈的欲望，冲动
resign,v. 辞职；放弿
curious,adj. 好奇的；古怪的
reverse,v.颠倒，翻转 n.相反，背靿
tissue,n.（动植物的）组织，纱布，面巾线
pregnant,adj.怀孕的，充满的
prayer,n.祈祷，祷告，祷文
sympathy,n. 同情；同愿
burst,n. 迸发 v. 爆炸
rescue,v.营救，援敿 n.营救，救揿
withdraw,v.撤退，收回，提款
sustain,v.支撑；供养；忍受
grave,adj. 严重的，严肃的，庄重皿 n. 墿
magnificent,adj. 宏伟的，壮丽的，华丽皿
inspire,v. 使生灵感；启示；激叿
reflection,n.反射；映象；反映
tube,n. 隧道，管子，管道
reluctant,adj. 不情愿的
spectacular,adj.壮观的，引人入胜皿 n. 奇观
fiction,n. 虚构；小诿
entertainment,n. 娱乐；招待，款待
anniversary,n. 周年纪念
infant,n. 幼儿＿ adj. 婴儿皿
drown,v.淹死；溺歿
bolt,n.螺栓，门栿 v.急逃，脱离
sketch,n. 梗概，素揿 v. 速写，打草稿
invade,v. 侵略
stack,n.堆，一大堆 v.堆积，堆政
bulb,n.电灯泡；球状牿
accelerate,v.加速，催促
anchor,n.锿 v.使固宿
plug,v.插上；堵丿 n.塞子，插夿
bark,v.狗吠 n.树皮，吠壿
dialect,n. 方言；语谿
solemn,adj.严肃的，庄严的，隆重皿
penetrate,v.刺穿，渗入，了解
cushion,n.坐垫 v.减轻，缓咿
greedy,adj.贪婪皿
bubble,v.起泡 n.气泡，水泿
boast,v/n.夸耀，吹嘘，自负
timely,adj.适时的，及时皿
fake,n.假货，膺品，冒充耿 v.伪造，捏造，伪装 adj.假的，伪造的，冒充的
pour,v.注入，倒入；下（雨＿
shed,n.棚屋 v.流出；落丿
privilege,n.特权，利益；优惠
hostile,adj. 敌对的，敌方的；怀敌意皿 n. 敌对
contest,n.比赛，竞亿 v.争夺，争访
recruit,v.招募(新兵)，招政新成呿 n.新兵，新成员
slide,v.滑动 n.滑行；下滑；滑板
steep,adj.陡峭的；急剧升降的；过高皿 v.浸泡
float,v.漂浮
fierce,adj.残酷的；暴力的，激烈的
virus,n.病毒，病毒性疾痿
underneath,prep.在下靿
amateur,n.业余爱好者，外行 adj.业余爱好的，业余 (身份)的；外行皿
mature,v.（使）成熟；(票据筿到期 adj.成熟皿
absorb,v.吸收(光、热、水、知识等)；使专心
crack,n.裂缝；破裂声；挖苦话 v.敲出裂痕，敲破；诿笑话) adj.最好的，一流的
faint,n.昏倿 v.昏厥过去 adj.浅淡的，模糊的；微弱皿
sink,n.水槽 v.（使)下沉＿使降低
trap,n.陷阱；捕兽夹；诡访 v.诱骗
enthusiastic,adj.狂热的，极感兴趣的，热情皿
shallow,n.浅滩 adj.浅的，肤浅的
peculiar,adj.古怪的，特别的
affection,n.关爱，爱慕；感情；作用，影响；疾痿
slope,n.山坡，斜坡，倾斜 v.倾斜
fragment,n.片段；碎牿 v.使成碎片
counsel,n.律师，法律顾问；忠告 v.劝告，顾问，提议
chase,n.追逐；追求 v.追赶；驱逐；追求
elaborate,v.详尽地说明，精心制做 adj.精益求精的；详尽的；复杂皿
pose,n.姿势；装腔作势，伪装 v.摆姿势；造成；提凿
tender,adj.温柔的；嫩的；柔弱的，脆弱的；痛皿 n.煤水车，附属船；嫩肉 v.提出（希望对方接受的意见等）
sponsor,n.赞助商；发起耿 v.发起；赞势
auction,n.拍卖 v.拍卖
persist,v.坚持，固执；继续存留
seal,n.海豹；邮戳；封条；火漆印 v.密封；封锁；缄口
swift,adj.快速的；敏捷的；突然地 n.雨燕
ballet,n.芭蕾舞，芭蕾舞剧，芭蕾舞囿
fame,n.名声，名朿
decorate,v.装饰，布置；抿勋章)授给(某人)
highlight,n.亮点，最精彩的部分；明亮部份 v.强调；（用荧光笔等）标出
ignorance,n.无知，愚昿
restrain,v.制止（做）；抑制（愤怒等）；监禁
click,v.击鼠标；(使发出咔哒声；情投意合；博得喝彿 n.咔哒壿
crawl,v.爬，匍匐前进
sting,n.蜇；（因被刺而引起的）疼痛；谋划 v.叮；刺疼；使苦闷
multiply,v.乘；繁殖；增势
spill,v.使溢出；使流出；撒；浿花等) n.溢出，溅出；溢出量；摔下
vacation,n.假期 v.度假
simplify,v.精简，使单纯
recycle,v.回收利用；改廿
conclude,v.推断，断定，结束
interior,adj.内的，内心的 n.内部，内忿
dominant,adj.主要的，占优势的，支配的，统治的
input,n.［经］投入；输入
phrase,n.短语，习语，警句，乐叿
depth,n.深度，深奥，深刻
surrounding,n.(常用复数)环境，周围事牿
theoretical,adj.理论(丿皿
destroy,v.破坏，消灭，毁灭
entrance,n.入口，大门口，进入，登场，入孿
injure,v.伤害，损害，损伤
residential,adj.居住的，住宅的，(学生)寄宿皿
soul,n.灵魂，心灵；精神，精力；亿
instrument,n.仪器，工具，乐器
device,n. 器械，装置，设计，手殿
musical,adj.音乐的；悦耳的；有音乐才能的，喜欢音乐的　　 n.音乐片；音乐喜剧
outstanding,adj.显著的，突出的，杰出皿
cottage,n.村舍，小屋，别墅
possess,v.拥有，占有，(鬼等)缠、附
distant,adj.遥远的，久远的，疏远皿
ultimate,adj.最后的，最终的
summary,n.摘要，总结 adj.扼要的，立即的，快捷皿
sake,n.缘故，利益；日本清酒
crew,n.全体船员，乘务员，职员，同事，工叿
observation,n.观察，注意，观察报告，遵宿
psychological,adj.心理的，心理学的
discovery,n.发现；被发现的事牿
percentage,n.百分比，百分玿
variation,n.变异，变化，变奏替
newly,adv. 最近，新近，重斿
heading,n.标题，题词，题名，航吿
poet,n.诗人
poetry,n.诗，诗歌，诗作，诗意
landlord,n.房东，地丿
harm,n.伤害，损宿 v.损害
disk,n.圆盘，唱片；磁盘
aunt,n.姑妈，伯母，舅妈，阿姿
calculate,v.计算，估计，计划
evident,adj.显然的，明显的，明白皿
string,n.弦，线，细绳，一系列
dying,adj.垂死的，临终皿
native,adj.本地的，本国的，与生俱来皿 n.本地人，土著，当地动植物
continuous,adj.连续不断的，持续皿
proof,n.证据，证明，校样 v.校验
headquarters,n.司令部，指挥部；总部，总局
thoughtful,adj.体贴的；沉思的
sky,n.天，天空
substance,n.物质，实质，本质
locate,v.测定，找凿..的位置，使..坐落亿
dozen,n.一打，十二丿
permit,v.允许 n.执照
cattle,n.牛，牲口，家畿
edition,n.版，版本，版欿
root,n.根部，根源，词根 v.生根，使固定
honour,n.尊敬，敬意；荣誉，光荣　 v.尊敬，给以荣調
definitely,adv.一定地，明确地
multiple,n.倍数 adj.多重的，复合的，倍数皿
outer,adj.外部的，外面的，外层皿
wake,v.醒来，使觉醒，激发，引起
economics,n.经济学，经济情况
exclude,v.排斥，排除，抿..排除在外
delight,n.高兴，愉忿 v.使高兿
machinery,n.机器，机关，结构，机刿
guideline,n.指导路线，准刿
illegal,adj.不合法的，非法的
catalog,n.商品目录，目彿 v.编目录，按目录分籿
quantity,n.量，总数，大釿
departure,n.离开，出发，离职，违叿
pause,v./n.中止，暂偿
ending,n.结尾，结局，末尿
timber,n.树木，木料，（人）品质，素质
explore,v.探险，探索，尝试
obligation,n. 义务，责仿
logic,n.逻辑，推理；逻辑怿
weekly,adj. 每周的，一周一次的 adv. 一周一次地 n.周报，周刿
occupation,n.占领，占据；占用；职业，工作
preference,n.偏爱，优先，优先板
Atlantic,adj.大西洋的　　 n.大西洿
perception,n.洞察力，理解力，认识，看泿
rush,v.(使冲，(使突进；奔，急速流动　　 n.冲，急速行进；　 adj.(交逿繁忙皿
heave,v.用力举起；掷扔；发出叹息；起伿 n.举起，升陿
humour,n.幽默，幽默感，心惿 v.纵容，迁尿
dirt,n.尘，土，污物，污垿
assure,v.吿..保证，使确信，担俿
lease,n.租约，租奿 v.出租，租徿
satisfactory,adj.令人满意的；良好皿
disposal,n.丢掉，处理，销毿
removal,n.移动，迁移，消除
temple,n.庙宇，圣堂，神殿
resolve,v.解决，决忿 n.决心
laughter,n.笑，笑声
statistical,adj.统计的，统计学的
era,n.时代，年代；纪元
acknowledge,v.承认…的权威(或主弿；对…打招呼；对…表示感谿
clothing,n.衣服，被褿
warmth,n.暖和，温暖；热烈
priest,n.教士，神爿
repair,n.修理，修衿 v.补救，纠正；修理
fortune,n.命运，运气；财产
corridor,n.长条地带，回廊，走廊，通道
pursue,v.进行，从事；追求，追赿
entertain,v.招待，款待；使娱乐；使欢乿
mechanical,adj.机械的，机械学的，机械性的
superior,n.上司，长辿 adj.优良的，卓越的，较高级的
comparable,adj.比得上的，可比较的，类似皿
ray,n.射线，光线，一丿 v.放射，照尿
ox,n.牛，公牛
oxygen,n. 氧气
monthly,adj.每月的　　 adv.每月一次，按月　 n.月刊
carriage,n.四轮马车；客车厢
influential,adj.有影响的
overnight,adv.整夜，一夜之间，突然
circular,adj.圆的，圆形的，循环的，循环论证的
limitation,n.限制，局限怿
lifetime,n.一生，终身
necessity,n.需要，必需品，必要性，必然怿
diary,n.日记，日记簿
unnecessary,adj. 不必要的，无用的
republican,adj.共和国的
predict,v.预言，预告，预测
grain,n.谷物种子，谷物，纹理 v.使成粒状
volunteer,n.志愿者；志愿兿 v.自愿(偿；自愿提供；自愿
tropical,adj.热带皿
workshop,n.车间，工场，工作室，研讨伿
intensive,adj.加强的，强调的，精耕细作的
copper,n.铜，铜色，铜帿
cheque,n.支票，空白支票；总收兿
exclusively,adv.专门地；特定地；排外地；仅仅
wool,n.羊毛，毛线，毛织哿
midnight,n.午夜，子夜，夜半
dialog,n.对话，对癿
measurement,n.衡量，测量，尺寸
disorder,n.混乱，杂乱，骚乱
seize,v.抓住，逮捕，夺叿
constitute,v.构成，组成，任命
Canadian,adj.加拿大的
backward,adj.向后的，倒行的，落后皿 adv.向后
darling,n.心爱的人，亲爱的
progressive,adj.前进的；逐渐的，渐进的，发展的；递增的，累进皿
forth,adv.向前；向外，往夿
liver,n.肝；肝脏
relieve,v.消除，减轻，换班
seed,n.种子，籽，种子选手
socialism,n.社会主义
acre,n.英亩(=6.07亿
commerce,n.商业，贸昿
dynamic,adj.动态的，有活力的，动力学的
lecture,n.演讲，讲诿 v.演讲，讲诿
opponent,n.对手，敌手，对抗耿 adj.反对皿
probability,n.可能性，或然性，概率
operational,adj.操作的，运转皿
consultant,n.会诊医师，顾问医生；顾问
peasant,n.农民
inhabitant,n.居民，住房
magnet,n.磁体，磁铿
marvellous,adj.惊人的，奇迹般的，妙极的
fluid,n.流体，液使 adj.流动的，易变的，流畅皿
fortunate,adj.幸运的，侥幸皿
widow,n.寡妇，遗孀
operator,n.操作人员＿电话)接线呿
fibre,n.纤维，纤维质
invasion,n.入侵，侵略，侵犯
gesture,n.姿势，手势，姿怿
dig,n. 掘，挿 v. 掘，挿
digital,adj. 数字的，计数皿
therapy,n.治疗，理疿
outline,v. 描绘，画凿..的轮廿 n. 外形，轮廿
artificial,adj.人造的，假的，非原产地皿
folk,n. 人们 adj. 民间的，民众皿
aggressive,adj.好斗的，进取的，侵犯皿
crash,v.碰撞，坠落，崩溃 n.碰撞坠落
naked,adj.裸体的，无遮蔽的
alarm,n. 闹钟，警报；惊慌 v. 警告；使惊恐
refugee,n. 避难者，难民
salary,n. 工资
compete,v. 比赛，与...竞争
panic,n.恐慌，惊慌，慌乱 v.(使恐慌＿使惊慌失措
cable,n. 缆，索，电缆 v. 拍电抿
mud,n. 泿
intelligent,adj. 聪明皿
curtain,n.窗帘，幕(帿 v.装帘子，遮掉
fancy,n.想象力，设想，爱奿 adj.昂贵的，花哨皿 v.想象，希望，迷恋
gear,n. 齿轮，装备，衣物 v. 使适合
desert,n.沙漠 v.放弃
elegant,adj. 雅致皿
encounter,v.邂逅，遭遇，偶避n.遭遇，冲窿
satisfy,v. 使满愿
participate,v. 参加
transform,v.将…变形，变化
transformation,n.变化；改造；转变
discount,v. 不信，把…打折扣，怀疑地看待 n. (价格、债款筿折扣
casual,adj. 漫不经心的；随意的；临时的；偶然皿 n. 便装；临时工人；偶然来访耿
luxury,n. 奢侈 adj. 奢侈皿
rub,v. 抚摸；擦；擦砿 n. 摩擦；障碍；磨损夿
dial,n. 日晷，钟面，拨号盿 v. 拿
dull,adj.黯淡的；枯燥无味皿
interval,n.间隔；休息；间距
dim,v. 变暗淿 adj. 暗淡的，弱的
triumph,n.凯旋，胜刿 v.成功
vacuum,n.真空；真空吸尘器
jealous,adj. 妒忌的，妒羡皿
appetite,n.食欲，胃口，欲望
frost,n.霜冻，严寿 v.霜冻
accomplish,v. 实现；完房
cart,n. 马车，手推车 v. 用车装载
exclaim,v. 呼叫，惊叿
solitary,adj.单独的，孤独的，隐居皿
wicked,adj.坏的；邪恶的
embrace,v. 拥抱，利用，包含
leap,v/n.跳；跃；激墿
vicious,adj.恶毒的，残酷的，危险皿
torch,n. 手电筒，火把
dump,v.倾卸，倾倒，倾销 n.垃圾堆，废物堆，军需品临时堆放的地方
boil,v. 开，沸腿
disclose,v. 透露，泄霿
peer,n. 同龄人，同等地位的人，贵旿 v. 仔细看，费力地看
amaze,v.使惊奿
glow,v.发光，发红光，发烿 n.柔光，粉兿
vacant,adj.空的；闲置的；空缺的
towel,n. 毛巾，手巿 v. 用毛巾擦
premature,adj.早熟的，不成熟的，过早的
toast,n. 烤面包，吐司 v.烤面包，为…祝酿
fare,n.交通费，乘客，食物 v.（事）进行得（好或坏）；进食；过日子；受招待
scenery,n. 风景
scratch,v.划破，擦伿 n.抓痕
triangle,n.三角彿
plunge,v.使投入；使陷兿
spray,n.喷雾；喷液；浪花 v.喷洒，喷
overlook,v.忽视；眺望；俯视
toll,n. 通行费，钟声 v. 敲钟
conceal,v.掩盖；隐瞿
smash,v.粉碎，猛冲，击溃 n.破碎(壿，猛撞，巨大的成势
transparent,adj.透明皿
dumb,adj.哑的，暂不说话的，愚笨的 v.使沉黿
sore,adj.疼痛的，恼火皿 n.疿
brutal,adj.残忍的，严酷的，难以忍受皿
elementary,adj.基础的；初级皿
disguise,v.假扮，掩饿 n. 伪装，假承
accumulate,v.积聚，积紿
torture,n.酷刑，折磿 v.对…施以苦刿
senator,n.参议呿
spur,v. 刺激 n. 踢马刿
cassette,n.磁带盒；录像带，盒式磁带
curl,n.卷毛，卷叿 v.使卷替
swear,v.郑重地说，强调，发誓 n.誓言，发調
prescription,n. 处方，药方，(医生开)的药；开处方，开药方
fountain,n. 泉水，喷泉，源泉
knot,n.绳结，结合，树的芿 v.打结
cartoon,n. 卡通，漫画
mushroom,n.蘑菇 v.迅速发屿
athlete,n 运动员，体育家，强壮的人
strap,v. 捆扎 n. 带子
withstand,v.忍受；抵挿
screw,n.螺丝，螺旋，螺旋浿 v.钉住＿用螺丿拧，使紧
snack,n. 小吃，快餿
steak,n. 牛排，肉排，鱼排
wreck,v. 使破坏，使毁灿 n. 失事，残骿
carrot,n. 胡萝卿
cube,n. 立方体，立方
loaf,n.一条（面包＿ v.虚度光阴
yawn,v. 打呵欠，张开 n. 呵欠
spit,v.吿唾沫) n.唾液，唾沿
imitate,v. 模仿
nurture,v.养育，鼓励，培植 n.养育，教养，营养牿
pillow,n.枕头 v.垫，枕着
bundle,n.捆，匿
ribbon,n.缎带，丝带，带状牿
disgust,n.恶心 v.使作呕，使厌恿
costume,n.服装，剧裿
prohibit,v. 禁止
annoy,v.使烦恼，使生氿
suck,v.吿
modify,v.改装，限定，修改
shiver,v.发抖；打颿
sweater,n. 毛衣，厚运动衿
wallet,n.皮夹，钱匿
regulate,v.管制，调整，控制
dispose,v. 处理，处置，除去；使愿意
roar,n.怒号，轰鸿 v.吼叫，呼喿
laundry,n. 洗衣店，要洗的衣牿
pants,n.裤子，短裿
digest,v.消化 n.摘要
glue,n.胶水 v.用胶粿
slap,v.掌击，拍打，掴，拿
altitude,n. 高度
overtake,v.超过，赶上；突然降临
briefcase,n.公事皮包
fatigue,n.疲乏，劳紿
financial,adj.财政的，金融皿
production,n.生产，产量，生产过程；上演的房
basis,n.基础，根捿
theory,n.理论，原理，学说，意见，看法
firm,n.商号，公叿 v.使稳固，变坚宿 adj.稳固的，坚定皿
announce,v.宣布，叙述，预示
elect,v.选举，推选，选择
mere,adj.仅仅的；纯粹皿
recognition,n.承认，认可，认出
violence,n.暴力，激烿
flight,n.航班，飞行，逃跑
minor,adj.较小的，较少的，较次要的，未成年皿
gallery,n.美术馆，画廊＿议会等的)旁听席，走廊
household,n.同住在一家的人；家务；家常普通的 adj. 家庭的，家内的，一家的
error,n.错误，过夿
corporation,n.(股份)公司，企业，社团
FALSE,adj.错误的，虚伪的，伪造的
excitement,n.刺激，激势
graph,n.(曲线)图，图表
analyse,v.分析，分觿
crop,n.作物，庄稼；(谷类等的)一熟收成；一批，大量
verb,n.动词
orchestra,n.管弦乐队
whisky,n.威士忌酒
nowadays,adv.现今，现圿
clay,n.粘土，泥土，人体，肉使
vague,adj.含混不清的，模糊的，含糊皿
grandfather,n.祖父；外祖父
shortage,n.缺少，不趿
hire,v.租借，雇用 n.租借，雇佣
bureau,n.局，司，处，社，所
lively,adj.活泼的，生动皿
tobacco,n.烟草，烟叿
insect,n. 昆虫
academy,n. 学院
renew,v.更新
meantime,n.其时，其闿 adv.当时，在那当中，同时
handful,n.一把；少数；一小撮
liberty,n. 自由
avenue,n.林荫道，道路；大衿
behalf,n.代表（某人）；利益；因为某人
civilization,n. 文明
supplement,n.增补，补充物，保健品；附彿 v. 补充
mysterious,adj. 神秘皿
installation,n.就职，安裿
prospective,adj. 预期的，未来的，可能皿
tray,n.盘，碟，托盘
